age,education,career,sleep_hours,exercise,risk_tolerance,location,income_2040,happiness_score,health_score,relationship_stability
41,Master's,Artist,6.7,1-2x/week,2,Suburban,62400,4.9,72,48
63,Bachelor's,Other,8.1,Daily,2,Rural,66200,7.1,80,60
42,Master's,Doctor,8.1,Rarely,9,Suburban,111300,6.8,61,94
35,Bachelor's,Entrepreneur,8.2,Daily,3,Urban,70500,5.5,85,70
59,Bachelor's,Doctor,7.0,3-5x/week,3,Urban,105100,5.6,82,53
62,PhD,Doctor,8.9,Rarely,9,Urban,129300,6.6,71,84
28,Master's,Educator,10.0,3-5x/week,2,Suburban,72200,5.2,86,35
60,High School,Other,10.0,3-5x/week,3,Urban,55500,5.8,79,51
50,High School,Entrepreneur,6.5,3-5x/week,9,Suburban,69500,5.8,80,89
26,Master's,Other,7.7,Rarely,1,Rural,60900,5.5,61,59
20,High School,Doctor,6.7,Daily,0,Suburban,78000,5.0,87,58
23,Master's,Other,6.3,3-5x/week,6,Suburban,62200,3.2,74,57
19,Master's,Engineer,6.7,Rarely,1,Rural,78100,4.4,54,68
24,High School,Engineer,4.7,1-2x/week,3,Rural,61100,5.2,74,62
22,High School,Artist,4.4,Rarely,1,Urban,34300,4.0,63,49
65,PhD,Educator,6.4,Rarely,2,Suburban,97000,5.6,64,31
18,Bachelor's,Artist,6.5,Rarely,5,Urban,44700,5.3,52,77
20,High School,Educator,8.5,3-5x/week,0,Rural,48000,6.5,86,49
60,Master's,Artist,8.5,Rarely,4,Rural,71000,5.6,57,72
48,PhD,Other,8.1,3-5x/week,2,Rural,80200,4.3,78,26
64,PhD,Entrepreneur,7.8,1-2x/week,5,Rural,103100,8.2,75,50
20,Master's,Educator,6.0,Rarely,0,Suburban,68000,2.4,65,45
58,High School,Entrepreneur,7.4,Rarely,3,Urban,69700,5.8,62,57
28,High School,Engineer,6.6,Rarely,7,Rural,64700,7.0,64,64
58,Bachelor's,Engineer,8.7,Daily,6,Rural,86200,7.4,81,79
63,PhD,Entrepreneur,6.9,Daily,8,Rural,104200,6.7,83,76
27,Master's,Other,9.4,Rarely,0,Urban,60800,5.3,68,46
19,Bachelor's,Entrepreneur,8.3,1-2x/week,9,Rural,67100,9.1,71,89
31,High School,Engineer,7.9,3-5x/week,10,Urban,67400,8.8,81,84
19,Master's,Engineer,4.5,Daily,3,Urban,79100,4.2,85,63
47,Master's,Doctor,4.2,1-2x/week,4,Urban,110800,3.4,67,64
43,Master's,Educator,6.9,1-2x/week,2,Suburban,78200,7.3,72,48
41,Master's,Other,5.3,Daily,10,Suburban,71400,5.4,82,79
44,Master's,Entrepreneur,7.9,Rarely,3,Urban,84100,5.9,66,60
63,Bachelor's,Engineer,8.7,3-5x/week,4,Urban,87200,5.2,75,58
22,Master's,Entrepreneur,6.8,1-2x/week,2,Rural,74800,5.1,75,43
64,Master's,Engineer,5.9,3-5x/week,7,Rural,99100,5.8,84,71
48,Master's,Educator,6.9,Rarely,6,Urban,82200,6.3,70,55
50,Bachelor's,Entrepreneur,7.6,1-2x/week,8,Rural,79000,6.3,74,76
59,High School,Educator,7.0,1-2x/week,1,Suburban,64100,5.8,76,59
58,Bachelor's,Other,9.2,Daily,10,Rural,68200,7.5,94,65
26,Master's,Entrepreneur,5.4,1-2x/week,7,Rural,78900,6.3,69,83
57,Bachelor's,Doctor,7.1,1-2x/week,8,Rural,106800,7.2,75,92
33,Bachelor's,Educator,6.6,1-2x/week,1,Rural,63700,4.7,66,50
18,Master's,Doctor,7.1,Rarely,7,Urban,100700,6.5,66,71
42,High School,Other,6.1,Daily,7,Urban,50300,6.5,82,58
51,Bachelor's,Artist,10.0,1-2x/week,6,Urban,58400,9.4,72,61
53,Master's,Entrepreneur,6.2,1-2x/week,9,Urban,90700,6.1,71,80
29,PhD,Engineer,7.3,Daily,0,Rural,91600,4.1,86,68
46,Bachelor's,Other,5.3,1-2x/week,10,Suburban,63400,6.3,62,100
50,Bachelor's,Engineer,8.7,Daily,7,Suburban,83500,7.0,88,80
64,PhD,Artist,5.4,Rarely,7,Rural,84100,4.5,57,67
21,Bachelor's,Artist,6.8,1-2x/week,8,Rural,47400,6.7,73,71
29,PhD,Entrepreneur,6.9,1-2x/week,3,Urban,88100,5.0,75,62
39,Master's,Doctor,9.1,Daily,10,Urban,110600,8.0,86,74
32,Bachelor's,Doctor,7.9,Daily,10,Urban,97800,7.7,82,89
23,High School,Other,4.4,Daily,6,Urban,42200,6.5,89,78
42,Bachelor's,Engineer,6.1,Daily,1,Rural,77300,4.3,84,72
18,Bachelor's,Entrepreneur,6.2,Daily,7,Suburban,65700,4.9,80,76
53,Master's,Other,6.3,Rarely,6,Urban,74200,6.0,68,68
22,PhD,Educator,7.3,Daily,1,Rural,79300,3.3,85,45
37,High School,Other,9.3,Daily,10,Rural,49800,7.9,91,69
33,Bachelor's,Entrepreneur,6.4,3-5x/week,4,Urban,70200,6.4,78,49
56,Bachelor's,Other,8.2,3-5x/week,2,Suburban,63400,6.0,79,61
62,PhD,Other,6.7,1-2x/week,4,Urban,86800,5.7,67,66
21,PhD,Doctor,6.8,1-2x/week,10,Suburban,113400,7.3,69,75
38,Master's,Entrepreneur,7.2,Rarely,3,Urban,81700,4.3,67,57
49,Bachelor's,Engineer,6.0,1-2x/week,4,Rural,81600,3.8,77,75
37,PhD,Doctor,6.2,3-5x/week,4,Rural,116800,7.1,82,49
32,Bachelor's,Educator,8.5,Rarely,4,Rural,64800,4.8,71,65
47,PhD,Entrepreneur,6.1,Daily,6,Suburban,96800,7.3,85,70
45,Bachelor's,Entrepreneur,8.0,Rarely,5,Urban,75500,6.6,66,58
31,Bachelor's,Artist,7.9,Rarely,7,Urban,50900,8.7,57,81
62,High School,Entrepreneur,7.2,3-5x/week,9,Urban,74300,6.0,80,79
20,PhD,Entrepreneur,7.3,1-2x/week,7,Rural,86500,5.9,84,75
46,Master's,Entrepreneur,7.5,Daily,9,Rural,87900,7.8,84,100
24,Master's,Other,6.1,1-2x/week,6,Suburban,62600,7.7,74,79
20,Bachelor's,Educator,4.0,Rarely,9,Suburban,62500,5.3,61,53
34,Master's,Engineer,6.5,1-2x/week,7,Rural,87100,6.8,74,66
27,PhD,Engineer,7.0,1-2x/week,0,Rural,90800,5.3,80,57
43,Master's,Educator,9.5,Daily,3,Suburban,78700,6.8,83,51
26,Bachelor's,Entrepreneur,10.0,1-2x/week,4,Rural,67400,6.2,79,79
60,Bachelor's,Educator,4.5,1-2x/week,10,Urban,79000,6.7,64,87
48,Bachelor's,Artist,6.3,Rarely,4,Suburban,56200,6.4,59,76
19,High School,Other,5.9,3-5x/week,0,Suburban,37600,4.2,80,39
35,High School,Engineer,7.9,1-2x/week,9,Suburban,68500,6.6,69,73
50,High School,Entrepreneur,4.5,Daily,1,Urban,65500,4.5,82,38
25,Bachelor's,Artist,9.0,Daily,5,Urban,47500,4.2,93,60
46,Bachelor's,Artist,6.0,1-2x/week,4,Suburban,55400,5.2,77,82
54,PhD,Artist,7.6,1-2x/week,2,Urban,77600,6.5,80,48
38,Bachelor's,Educator,6.3,1-2x/week,2,Rural,66200,4.6,69,70
62,Bachelor's,Entrepreneur,6.0,1-2x/week,5,Suburban,82300,4.3,66,69
63,High School,Artist,8.0,Daily,5,Urban,52700,5.4,86,82
26,PhD,Educator,8.1,3-5x/week,3,Urban,81900,7.4,73,51
36,Master's,Entrepreneur,4.4,Daily,7,Urban,82900,5.5,82,79
20,Master's,Entrepreneur,6.7,1-2x/week,5,Urban,75500,7.3,78,51
32,Master's,Entrepreneur,5.5,1-2x/week,0,Rural,77800,4.7,66,50
29,Bachelor's,Doctor,5.8,3-5x/week,3,Urban,93100,5.4,85,59
43,Bachelor's,Artist,7.4,3-5x/week,1,Rural,52700,6.6,77,39
40,PhD,Other,5.3,1-2x/week,2,Rural,77000,5.3,71,63
32,Bachelor's,Educator,8.1,Daily,10,Urban,67800,7.5,93,83
34,Master's,Entrepreneur,8.6,3-5x/week,7,Rural,82100,9.8,78,76
18,High School,Other,7.1,Daily,0,Urban,37200,5.0,89,54
31,Master's,Entrepreneur,6.6,3-5x/week,7,Urban,80900,6.7,84,62
54,Bachelor's,Artist,9.8,1-2x/week,3,Urban,58100,5.1,90,66
18,Master's,Educator,5.7,Rarely,10,Rural,72200,6.1,65,95
46,Bachelor's,Engineer,6.2,1-2x/week,1,Urban,78900,6.0,75,44
47,PhD,Doctor,6.8,Daily,9,Rural,123300,8.3,85,68
40,Master's,Engineer,7.4,Daily,0,Urban,86000,3.5,74,43
23,PhD,Entrepreneur,6.7,1-2x/week,2,Urban,85200,7.8,69,65
44,High School,Entrepreneur,6.0,Daily,8,Suburban,66600,8.2,77,48
31,Master's,Educator,6.2,1-2x/week,5,Suburban,74900,6.4,72,55
57,PhD,Artist,5.8,Daily,3,Rural,79300,5.5,82,57
32,Bachelor's,Other,5.2,Daily,9,Urban,57300,5.8,81,65
34,Bachelor's,Other,8.1,3-5x/week,9,Urban,58100,6.7,83,72
21,Master's,Educator,6.5,Rarely,2,Rural,69400,4.4,57,37
61,Master's,Entrepreneur,4.8,3-5x/week,1,Suburban,89900,4.8,74,58
27,Bachelor's,Engineer,7.6,Daily,3,Suburban,72300,5.5,84,47
18,Master's,Educator,6.9,3-5x/week,0,Urban,67200,3.8,81,60
20,High School,Artist,5.0,3-5x/week,5,Suburban,35500,4.2,77,77
44,High School,Entrepreneur,8.4,3-5x/week,7,Suburban,66100,7.2,89,64
38,Master's,Doctor,9.7,1-2x/week,10,Suburban,110200,8.7,77,88
43,Bachelor's,Artist,7.0,Daily,4,Rural,54200,6.3,91,73
32,High School,Artist,5.4,1-2x/week,7,Urban,41300,4.9,71,84
45,Bachelor's,Engineer,6.5,Daily,1,Suburban,78500,4.9,84,74
45,High School,Other,6.9,Rarely,1,Suburban,48500,5.4,68,50
20,Master's,Artist,6.5,Daily,9,Urban,57500,7.2,90,95
43,Master's,Artist,7.4,Rarely,8,Rural,66200,6.9,56,80
65,Bachelor's,Entrepreneur,4.0,Rarely,2,Suburban,82000,4.5,61,56
46,High School,Doctor,6.5,Rarely,4,Urban,90400,6.1,62,68
63,PhD,Educator,8.3,Rarely,10,Suburban,100200,4.6,70,61
63,PhD,Doctor,7.2,Rarely,1,Suburban,125700,6.6,63,49
22,Bachelor's,Educator,5.5,Rarely,8,Rural,62800,5.2,55,80
61,High School,Entrepreneur,7.4,Daily,7,Rural,72900,4.6,84,62
55,PhD,Educator,6.5,Daily,0,Suburban,92000,4.1,91,43
59,PhD,Engineer,8.8,3-5x/week,4,Rural,105600,8.8,80,47
20,PhD,Engineer,9.1,Daily,5,Rural,90500,7.5,90,57
51,Bachelor's,Artist,8.7,Daily,5,Suburban,57900,6.3,91,62
32,PhD,Entrepreneur,8.6,Daily,10,Suburban,92800,6.8,87,82
26,Master's,Engineer,6.8,Daily,9,Rural,84900,7.2,85,73
20,Bachelor's,Entrepreneur,7.4,Rarely,4,Suburban,65000,4.6,63,73
61,PhD,Artist,7.2,1-2x/week,2,Urban,80400,5.9,76,40
48,High School,Entrepreneur,7.8,1-2x/week,5,Rural,66700,8.2,67,60
51,Master's,Educator,7.5,1-2x/week,4,Suburban,82400,5.2,69,43
26,Bachelor's,Other,7.2,Daily,4,Suburban,52400,5.6,94,53
50,High School,Other,9.9,Rarely,8,Urban,54000,9.6,79,64
32,Master's,Entrepreneur,6.6,Rarely,4,Urban,79800,5.9,62,69
20,High School,Educator,6.2,Rarely,6,Urban,51000,6.1,64,52
65,High School,Educator,6.6,Rarely,7,Suburban,69500,6.0,62,73
35,High School,Entrepreneur,6.7,Rarely,7,Rural,62500,6.4,58,87
41,Master's,Doctor,8.4,Daily,7,Urban,109900,5.7,86,71
36,High School,Entrepreneur,8.3,1-2x/week,2,Urban,60400,5.2,77,52
23,Master's,Engineer,5.1,1-2x/week,3,Suburban,80700,4.6,67,38
21,Bachelor's,Other,8.9,3-5x/week,4,Rural,50400,6.1,86,71
59,High School,Educator,6.0,1-2x/week,0,Rural,63600,4.4,75,75
26,Master's,Artist,7.8,Daily,6,Rural,58400,5.3,88,56
59,Bachelor's,Engineer,7.8,Rarely,0,Urban,83600,5.5,60,45
32,Master's,Doctor,9.6,1-2x/week,6,Urban,105800,7.5,77,78
25,High School,Other,4.9,Daily,0,Suburban,40000,6.1,75,35
44,High School,Doctor,7.5,Rarely,9,Rural,92100,6.4,72,84
41,Master's,Educator,6.7,3-5x/week,3,Rural,77900,5.4,85,68
57,PhD,Educator,5.6,1-2x/week,4,Suburban,94800,5.5,72,75
48,Bachelor's,Other,7.2,Daily,1,Rural,59700,4.6,71,65
41,PhD,Artist,6.0,1-2x/week,5,Suburban,73900,6.6,69,79
30,PhD,Entrepreneur,8.4,Daily,7,Urban,90500,4.9,86,57
46,Master's,Artist,6.8,Rarely,5,Rural,65900,5.2,63,67
28,High School,Engineer,6.1,1-2x/week,5,Rural,63700,5.5,71,59
32,Bachelor's,Educator,4.0,Daily,4,Urban,64800,5.0,83,43
55,PhD,Other,7.0,Daily,6,Urban,85000,4.3,76,70
60,PhD,Educator,7.0,3-5x/week,9,Rural,98500,6.8,81,72
65,Bachelor's,Engineer,4.1,1-2x/week,2,Urban,87000,4.1,62,63
27,Bachelor's,Engineer,7.4,3-5x/week,7,Suburban,74300,6.7,77,56
20,PhD,Doctor,5.8,3-5x/week,3,Rural,109500,4.1,76,53
19,PhD,Other,5.7,1-2x/week,1,Suburban,68100,5.5,76,62
56,PhD,Artist,5.5,3-5x/week,0,Rural,77400,4.1,76,32
25,High School,Entrepreneur,4.1,3-5x/week,1,Suburban,55500,3.6,69,44
45,Bachelor's,Entrepreneur,5.1,Rarely,1,Urban,73500,4.3,63,69
20,High School,Educator,5.5,1-2x/week,9,Urban,52500,6.9,68,67
26,PhD,Educator,6.6,Rarely,2,Urban,81400,4.2,65,36
53,PhD,Entrepreneur,6.3,Rarely,8,Suburban,100200,5.3,55,80
31,High School,Engineer,8.0,Daily,7,Urban,65900,7.6,93,75
51,PhD,Artist,5.5,Rarely,6,Rural,78400,5.8,56,80
38,Master's,Doctor,9.9,Daily,5,Suburban,107700,7.8,96,66
64,Master's,Engineer,8.3,3-5x/week,1,Urban,96100,4.6,79,52
38,High School,Entrepreneur,6.4,Daily,4,Rural,62200,3.7,82,84
19,Master's,Artist,6.7,Daily,1,Suburban,53100,4.1,92,59
58,Bachelor's,Educator,7.8,1-2x/week,9,Rural,77700,7.3,73,78
20,PhD,Educator,8.1,Rarely,7,Urban,81500,5.5,66,51
34,High School,Other,6.7,Daily,1,Urban,44100,5.6,88,41
57,High School,Other,9.2,Daily,0,Suburban,52800,3.3,88,21
47,Master's,Educator,8.1,3-5x/week,4,Urban,80800,6.0,76,53
54,High School,Other,8.5,1-2x/week,3,Urban,53100,5.8,82,43
65,High School,Artist,7.5,3-5x/week,6,Suburban,54000,6.7,77,74
58,Master's,Other,5.8,Rarely,8,Urban,77200,8.5,68,80
51,Master's,Educator,7.7,3-5x/week,5,Urban,82900,5.5,69,64
30,High School,Doctor,5.2,3-5x/week,10,Rural,87000,6.9,81,88
48,Bachelor's,Other,5.3,1-2x/week,0,Rural,59200,3.8,71,52
26,Bachelor's,Artist,5.4,Rarely,6,Suburban,48400,8.5,57,83
48,Master's,Educator,5.2,Rarely,6,Urban,82200,7.1,72,53
51,PhD,Artist,8.2,Rarely,2,Suburban,76400,6.1,62,55
22,PhD,Artist,7.5,Rarely,4,Suburban,65800,6.5,67,70
44,Master's,Artist,9.0,Daily,1,Rural,63100,5.2,91,42
27,Bachelor's,Artist,7.3,Daily,5,Suburban,48300,4.2,82,52
57,Master's,Engineer,7.8,1-2x/week,8,Suburban,96800,7.2,83,67
22,Master's,Doctor,7.3,3-5x/week,7,Rural,102300,6.8,78,79
31,Bachelor's,Educator,9.1,Daily,6,Suburban,65400,6.6,92,70
49,PhD,Other,6.1,Daily,5,Suburban,82100,5.9,88,57
64,Master's,Artist,5.3,Rarely,3,Suburban,72100,4.5,58,43
63,Bachelor's,Artist,4.7,1-2x/week,0,Urban,60200,2.8,65,67
20,PhD,Other,5.6,1-2x/week,2,Suburban,69000,5.2,69,40
24,PhD,Educator,9.9,Daily,8,Suburban,83600,6.8,98,69
42,Master's,Other,9.0,Rarely,7,Urban,70300,6.5,75,62
19,PhD,Artist,7.1,Rarely,10,Suburban,67600,5.4,64,87
44,PhD,Entrepreneur,5.3,Daily,5,Suburban,95100,6.7,83,64
62,Master's,Educator,6.3,Daily,8,Rural,88800,5.9,74,98
36,High School,Doctor,8.8,1-2x/week,2,Urban,85400,7.0,74,64
36,High School,Other,4.5,Rarely,9,Suburban,48900,4.6,57,86
38,Bachelor's,Doctor,6.2,3-5x/week,8,Rural,99200,7.2,78,79
60,Master's,Entrepreneur,6.0,3-5x/week,0,Rural,89000,5.1,79,29
35,Bachelor's,Educator,7.8,3-5x/week,10,Suburban,69000,7.5,74,75
62,Bachelor's,Entrepreneur,6.4,3-5x/week,9,Suburban,84300,6.7,76,71
39,PhD,Doctor,6.7,Daily,6,Rural,118600,4.1,76,64
37,High School,Entrepreneur,6.8,Rarely,2,Suburban,60800,6.0,56,63
33,High School,Engineer,9.2,Daily,10,Urban,68200,7.9,96,67
46,PhD,Entrepreneur,6.5,Daily,1,Urban,93900,4.7,82,55
37,PhD,Engineer,6.3,1-2x/week,6,Urban,97800,4.5,77,84
46,PhD,Other,6.2,1-2x/week,8,Rural,82400,5.8,74,77
38,Master's,Doctor,5.4,Rarely,8,Suburban,109200,6.8,59,80
38,High School,Artist,4.9,Rarely,6,Rural,43200,4.9,50,66
53,Master's,Doctor,5.5,Daily,7,Urban,114700,8.2,86,86
57,PhD,Engineer,6.8,Daily,4,Urban,104800,5.6,95,74
33,High School,Educator,10.0,3-5x/week,4,Suburban,55200,5.7,81,65
23,Bachelor's,Educator,8.2,Rarely,1,Suburban,59700,7.6,63,41
61,High School,Educator,7.5,Rarely,7,Rural,67900,8.8,57,67
27,Bachelor's,Other,8.0,1-2x/week,7,Rural,54300,5.1,75,73
46,Master's,Engineer,4.7,Daily,10,Rural,93400,5.3,76,74
21,PhD,Entrepreneur,6.6,1-2x/week,10,Rural,88400,8.8,64,82
26,Master's,Doctor,6.6,3-5x/week,5,Rural,102900,5.4,67,74
62,Bachelor's,Entrepreneur,9.9,1-2x/week,1,Suburban,80300,5.9,80,65
22,PhD,Doctor,5.8,Daily,7,Rural,112300,4.5,81,85
45,High School,Artist,5.5,Daily,5,Suburban,45500,8.1,78,75
54,Master's,Educator,8.5,Daily,10,Urban,86600,8.3,94,84
19,High School,Artist,4.6,Rarely,8,Rural,36600,6.3,62,73
63,High School,Educator,6.5,3-5x/week,8,Suburban,69200,7.1,75,68
25,High School,Engineer,7.2,Rarely,10,Urban,65000,7.0,64,71
49,Bachelor's,Doctor,6.6,Daily,3,Urban,101100,6.5,80,53
41,Master's,Engineer,7.2,3-5x/week,2,Suburban,87400,6.2,77,52
21,Master's,Entrepreneur,6.6,3-5x/week,7,Rural,76900,5.2,76,77
48,Bachelor's,Artist,8.9,3-5x/week,6,Urban,57200,8.1,88,77
49,PhD,Other,8.2,3-5x/week,1,Urban,80100,3.8,77,45
59,Master's,Artist,4.3,Rarely,0,Rural,68600,5.0,58,40
32,PhD,Engineer,7.0,Daily,8,Suburban,96800,6.3,82,64
59,Master's,Other,5.7,Rarely,7,Rural,77100,6.0,64,47
59,PhD,Educator,5.7,3-5x/week,10,Rural,98600,5.8,75,86
49,Master's,Entrepreneur,5.5,1-2x/week,2,Urban,85600,5.6,64,47
65,Master's,Engineer,8.9,1-2x/week,8,Suburban,100000,6.9,78,70
27,PhD,Entrepreneur,5.1,3-5x/week,3,Urban,87300,5.5,80,61
65,High School,Engineer,7.0,Daily,8,Urban,80000,7.1,82,64
65,Bachelor's,Engineer,6.0,Rarely,7,Urban,89500,5.7,61,79
36,Master's,Educator,7.5,3-5x/week,5,Urban,76900,4.9,79,66
62,Master's,Engineer,9.4,1-2x/week,4,Suburban,96800,5.2,71,67
63,High School,Other,10.0,Rarely,0,Urban,55200,6.7,65,48
44,PhD,Engineer,6.8,Daily,8,Suburban,101600,7.8,83,75
24,High School,Entrepreneur,5.4,3-5x/week,9,Suburban,59100,6.1,72,82
38,PhD,Artist,5.3,Daily,3,Suburban,71700,5.4,68,65
60,High School,Other,7.4,3-5x/week,9,Rural,58500,7.1,81,82
30,High School,Artist,6.5,1-2x/week,10,Suburban,42000,6.9,69,100
39,PhD,Educator,8.0,Rarely,5,Suburban,88100,9.0,64,74
18,Master's,Entrepreneur,6.6,Rarely,7,Urban,75700,6.7,63,77
61,Master's,Engineer,10.0,1-2x/week,7,Suburban,97900,7.4,81,69
61,High School,Other,6.2,Daily,3,Suburban,55900,5.3,87,66
44,High School,Educator,7.8,Daily,0,Suburban,57600,5.5,84,45
35,Bachelor's,Artist,6.5,Rarely,10,Rural,54000,6.3,71,81
46,Master's,Engineer,4.0,3-5x/week,1,Suburban,88900,4.6,82,54
19,PhD,Engineer,7.8,1-2x/week,5,Suburban,90100,5.8,75,55
55,PhD,Engineer,7.9,Rarely,4,Suburban,104000,6.9,64,54
32,Bachelor's,Artist,7.3,Rarely,4,Rural,49800,4.8,66,73
40,Bachelor's,Entrepreneur,7.1,1-2x/week,2,Rural,72000,5.6,79,40
53,High School,Doctor,8.6,1-2x/week,10,Urban,96200,7.3,84,67
35,High School,Entrepreneur,8.7,1-2x/week,0,Urban,59000,3.0,79,57
44,High School,Artist,6.7,3-5x/week,4,Rural,44600,5.0,78,39
28,Master's,Educator,8.1,3-5x/week,7,Urban,74700,6.9,74,92
27,Bachelor's,Artist,7.2,Rarely,2,Rural,46800,7.1,72,58
21,Bachelor's,Entrepreneur,8.1,Rarely,9,Rural,67900,8.4,57,86
60,Master's,Other,6.5,Daily,2,Suburban,75000,5.5,80,62
49,Master's,Doctor,9.8,3-5x/week,6,Suburban,112600,7.5,85,60
32,Master's,Artist,8.4,1-2x/week,3,Urban,59300,5.7,76,67
27,Bachelor's,Educator,7.7,Rarely,9,Suburban,65300,6.8,66,70
40,PhD,Educator,8.3,Daily,1,Rural,86500,6.2,90,45
59,PhD,Other,7.3,3-5x/week,10,Suburban,88600,6.2,81,76
22,Master's,Artist,7.5,Rarely,5,Urban,56300,4.9,56,75
40,PhD,Doctor,6.8,Rarely,0,Rural,116000,3.7,49,24
36,High School,Engineer,6.6,Daily,0,Rural,64400,5.3,79,59
63,High School,Artist,5.3,1-2x/week,8,Rural,54200,6.2,78,52
26,PhD,Engineer,6.2,Daily,5,Urban,92900,4.7,90,54
50,PhD,Engineer,5.0,Daily,8,Urban,104000,8.4,81,73
36,Master's,Doctor,9.4,1-2x/week,10,Urban,109400,7.6,74,74
18,High School,Doctor,7.3,1-2x/week,1,Rural,77700,3.8,71,63
26,Bachelor's,Entrepreneur,6.5,Rarely,3,Urban,66900,4.7,73,49
41,High School,Doctor,6.7,3-5x/week,3,Rural,87900,4.2,68,64
57,Master's,Other,8.6,1-2x/week,7,Urban,76300,7.9,80,74
31,Master's,Artist,8.7,1-2x/week,9,Rural,61900,6.9,73,86
22,PhD,Entrepreneur,8.4,3-5x/week,2,Rural,84800,4.5,75,60
55,Master's,Other,5.6,1-2x/week,5,Suburban,74500,4.4,70,57
55,High School,Artist,7.1,Daily,2,Rural,48000,5.3,77,69
40,Master's,Artist,4.8,Rarely,3,Urban,62500,4.7,60,75
31,Master's,Entrepreneur,5.2,Rarely,9,Suburban,81900,3.8,58,68
47,PhD,Engineer,7.3,Daily,3,Suburban,100300,5.3,86,64
23,Master's,Artist,4.1,1-2x/week,10,Suburban,59200,8.5,80,85
60,Master's,Other,5.9,3-5x/week,8,Suburban,78000,5.8,74,71
40,PhD,Educator,8.0,3-5x/week,2,Rural,87000,6.2,83,65
36,Master's,Educator,8.6,3-5x/week,4,Suburban,76400,7.5,80,63
34,High School,Artist,7.6,Daily,8,Suburban,42600,6.6,84,75
22,PhD,Doctor,7.3,3-5x/week,6,Suburban,111800,6.1,77,64
42,Master's,Doctor,5.9,Daily,8,Suburban,110800,6.4,81,75
27,High School,Artist,4.1,Rarely,2,Urban,36800,6.3,58,45
53,Bachelor's,Entrepreneur,8.2,3-5x/week,7,Suburban,79700,7.7,86,70
39,Bachelor's,Artist,7.7,3-5x/week,1,Rural,51100,5.9,85,51
30,PhD,Educator,6.6,Rarely,10,Urban,87000,7.8,64,69
37,PhD,Other,6.9,Daily,0,Urban,74800,3.3,89,46
52,High School,Doctor,8.3,1-2x/week,2,Rural,91800,6.1,75,56
58,PhD,Entrepreneur,5.5,3-5x/week,4,Rural,100200,6.5,71,68
19,High School,Entrepreneur,8.8,Rarely,9,Rural,57100,6.6,67,78
57,Master's,Engineer,6.9,3-5x/week,3,Rural,94300,6.6,86,55
24,High School,Other,9.8,3-5x/week,6,Urban,42600,6.4,71,72
52,Bachelor's,Artist,6.9,Rarely,7,Rural,59300,7.5,63,72
29,PhD,Educator,7.3,Rarely,1,Suburban,82100,5.2,73,56
40,PhD,Educator,7.5,Daily,2,Rural,87000,5.2,82,55
39,Master's,Artist,8.0,Rarely,0,Suburban,60600,5.8,63,44
64,High School,Artist,9.2,Rarely,8,Urban,54600,7.2,76,78
32,Bachelor's,Other,7.6,Rarely,2,Urban,53800,6.1,59,51
49,Bachelor's,Educator,8.1,Daily,4,Suburban,71600,6.7,91,69
44,Bachelor's,Engineer,5.5,1-2x/week,1,Suburban,78100,4.6,70,39
62,High School,Educator,7.1,Daily,5,Suburban,67300,6.1,80,57
29,High School,Artist,7.4,Rarely,1,Urban,37100,6.6,72,49
28,PhD,Doctor,7.6,Daily,3,Urban,112700,6.0,91,77
47,PhD,Engineer,6.7,Rarely,7,Suburban,102300,7.2,67,54
44,Bachelor's,Doctor,8.8,1-2x/week,8,Urban,101600,8.0,78,75
31,Bachelor's,Artist,7.3,3-5x/week,5,Urban,49900,6.1,84,64
65,Master's,Doctor,6.5,Rarely,2,Rural,117000,5.0,67,67
27,Master's,Entrepreneur,6.6,Daily,3,Urban,77300,4.4,88,66
64,High School,Educator,5.7,1-2x/week,7,Suburban,69100,4.7,68,78
29,PhD,Educator,6.4,Rarely,2,Rural,82600,5.2,67,60
64,Master's,Educator,7.4,Rarely,2,Urban,86600,5.5,62,69
49,Master's,Other,7.6,1-2x/week,7,Suburban,73100,7.3,77,66
49,Master's,Other,7.2,Rarely,10,Urban,74600,6.9,65,86
24,PhD,Educator,6.1,3-5x/week,8,Rural,83600,5.2,82,64
57,High School,Other,7.3,3-5x/week,8,Rural,56800,6.0,80,74
56,PhD,Entrepreneur,6.0,3-5x/week,5,Suburban,99900,5.6,73,56
60,Bachelor's,Engineer,7.2,Daily,8,Rural,88000,6.2,77,79
33,Master's,Doctor,7.1,Daily,9,Suburban,107700,6.1,86,87
24,PhD,Entrepreneur,7.1,1-2x/week,9,Suburban,89100,7.5,72,68
61,Bachelor's,Entrepreneur,5.7,3-5x/week,1,Suburban,79900,4.9,83,44
48,High School,Artist,5.2,3-5x/week,3,Urban,45700,3.4,71,41
59,Master's,Educator,5.3,Daily,9,Suburban,88100,4.6,96,74
63,Master's,Educator,7.0,Daily,0,Urban,85200,3.8,86,49
48,Bachelor's,Doctor,4.0,Daily,4,Rural,101200,5.8,79,56
39,PhD,Entrepreneur,6.2,3-5x/week,1,Rural,91100,4.8,80,50
60,Bachelor's,Educator,6.5,3-5x/week,5,Urban,76500,6.0,87,66
62,Bachelor's,Engineer,5.7,Daily,0,Suburban,84800,3.9,80,50
40,High School,Artist,6.8,Rarely,4,Urban,43000,5.0,60,65
54,High School,Other,8.2,3-5x/week,5,Urban,54100,6.0,77,80
43,High School,Artist,7.2,Daily,6,Suburban,45200,6.7,83,66
